open,close,high,low,value,volume,begin,end
2700.0,2700.0,2707.8,2693.8,224072.3,83,2011-12-15 14:13:00,2011-12-15 14:13:59
2700.0,2698.2,2706.6,2697.5,83742.0,31,2011-12-15 14:14:00,2011-12-15 14:14:59
2691.1,2691.1,2691.1,2691.1,13455.5,5,2011-12-15 14:16:00,2011-12-15 14:16:59
2701.0,2705.0,2705.5,2701.0,175794.5,65,2011-12-15 14:17:00,2011-12-15 14:17:59
2706.0,2709.7,2709.7,2706.0,327845.3,121,2011-12-15 14:18:00,2011-12-15 14:18:59
2709.7,2717.8,2717.8,2702.3,382128.3,141,2011-12-15 14:19:00,2011-12-15 14:19:59
2717.8,2723.5,2723.5,2717.8,114206.8,42,2011-12-15 14:20:00,2011-12-15 14:20:59
2722.0,2712.8,2723.6,2699.7,280193.3,103,2011-12-15 14:21:00,2011-12-15 14:21:59
2712.5,2719.8,2719.8,2712.5,67957.3,25,2011-12-15 14:22:00,2011-12-15 14:22:59
2711.6,2711.6,2711.6,2711.6,13558.0,5,2011-12-15 14:24:00,2011-12-15 14:24:59
2719.9,2716.8,2721.9,2707.8,661967.9,244,2011-12-15 14:25:00,2011-12-15 14:25:59
2709.3,2709.3,2709.3,2709.3,13546.5,5,2011-12-15 14:26:00,2011-12-15 14:26:59
2717.7,2717.5,2717.7,2717.5,51634.5,19,2011-12-15 14:28:00,2011-12-15 14:28:59
2710.3,2710.3,2718.0,2710.3,888440.0,327,2011-12-15 14:29:00,2011-12-15 14:29:59
2718.5,2723.7,2723.7,2718.5,781476.9,287,2011-12-15 14:30:00,2011-12-15 14:30:59
2723.7,2730.6,2730.6,2723.7,106335.7,39,2011-12-15 14:31:00,2011-12-15 14:31:59
2732.0,2730.0,2732.0,2730.0,43690.0,16,2011-12-15 14:32:00,2011-12-15 14:32:59
2732.7,2729.3,2739.9,2729.3,1671969.3,611,2011-12-15 14:33:00,2011-12-15 14:33:59
2739.9,2740.0,2740.0,2739.9,191799.4,70,2011-12-15 14:34:00,2011-12-15 14:34:59
2740.0,2741.4,2744.0,2707.3,2458159.9,898,2011-12-15 14:35:00,2011-12-15 14:35:59
2740.8,2741.0,2741.9,2732.0,290508.1,106,2011-12-15 14:36:00,2011-12-15 14:36:59
2745.0,2745.0,2745.0,2745.0,82350.0,30,2011-12-15 14:37:00,2011-12-15 14:37:59
2745.0,2738.9,2749.5,2738.0,581800.5,212,2011-12-15 14:38:00,2011-12-15 14:38:59
2738.0,2740.0,2740.1,2734.2,662785.2,242,2011-12-15 14:39:00,2011-12-15 14:39:59
2740.1,2740.1,2740.1,2740.0,465801.3,170,2011-12-15 14:40:00,2011-12-15 14:40:59
2740.0,2740.0,2744.3,2740.0,46623.0,17,2011-12-15 14:41:00,2011-12-15 14:41:59
2745.5,2741.9,2745.6,2741.9,244318.1,89,2011-12-15 14:42:00,2011-12-15 14:42:59
2743.1,2741.6,2748.7,2740.4,343130.5,125,2011-12-15 14:43:00,2011-12-15 14:43:59
2740.1,2747.9,2747.9,2740.1,63101.0,23,2011-12-15 14:44:00,2011-12-15 14:44:59
2740.9,2740.1,2748.2,2740.0,806034.5,294,2011-12-15 14:45:00,2011-12-15 14:45:59
2735.0,2731.0,2742.3,2731.0,388454.1,142,2011-12-15 14:46:00,2011-12-15 14:46:59
2735.2,2725.9,2737.9,2725.9,1483626.3,542,2011-12-15 14:47:00,2011-12-15 14:47:59
2730.2,2730.0,2739.4,2730.0,881811.3,323,2011-12-15 14:48:00,2011-12-15 14:48:59
2730.0,2730.2,2734.1,2730.0,1187645.0,435,2011-12-15 14:49:00,2011-12-15 14:49:59
2721.7,2712.3,2730.1,2709.1,228335.3,84,2011-12-15 14:50:00,2011-12-15 14:50:59
2712.2,2734.3,2734.4,2712.2,1608078.2,589,2011-12-15 14:51:00,2011-12-15 14:51:59
2734.3,2734.3,2748.0,2734.3,4037835.4,1476,2011-12-15 14:52:00,2011-12-15 14:52:59
2735.0,2739.3,2739.3,2730.0,429360.6,157,2011-12-15 14:53:00,2011-12-15 14:53:59
2738.0,2746.9,2747.5,2738.0,332062.3,121,2011-12-15 14:54:00,2011-12-15 14:54:59
2748.4,2750.0,2750.0,2741.7,747736.2,272,2011-12-15 14:55:00,2011-12-15 14:55:59
2750.0,2749.9,2760.0,2749.9,1168218.8,424,2011-12-15 14:56:00,2011-12-15 14:56:59
2749.8,2750.0,2756.6,2741.8,558317.3,203,2011-12-15 14:57:00,2011-12-15 14:57:59
2750.0,2750.0,2750.0,2745.1,822224.9,299,2011-12-15 14:58:00,2011-12-15 14:58:59
2760.0,2765.0,2765.0,2755.1,2385405.5,863,2011-12-15 14:59:00,2011-12-15 14:59:59
2765.0,2759.7,2765.0,2750.1,1948151.6,707,2011-12-15 15:00:00,2011-12-15 15:00:59
2750.7,2750.0,2760.3,2750.0,2870039.9,1043,2011-12-15 15:01:00,2011-12-15 15:01:59
2750.0,2750.0,2762.1,2750.0,2128095.9,773,2011-12-15 15:02:00,2011-12-15 15:02:59
2750.0,2752.6,2764.8,2750.0,3444120.7,1250,2011-12-15 15:03:00,2011-12-15 15:03:59
2750.5,2735.6,2761.9,2735.2,2168427.9,790,2011-12-15 15:04:00,2011-12-15 15:04:59
2735.6,2735.0,2749.8,2735.0,2064021.2,754,2011-12-15 15:05:00,2011-12-15 15:05:59
2735.0,2731.0,2743.8,2731.0,2545338.6,931,2011-12-15 15:06:00,2011-12-15 15:06:59
2738.8,2731.0,2747.5,2731.0,1940672.2,710,2011-12-15 15:07:00,2011-12-15 15:07:59
2741.1,2731.7,2745.2,2731.0,2588938.8,947,2011-12-15 15:08:00,2011-12-15 15:08:59
2731.7,2731.2,2745.3,2731.2,2409444.2,881,2011-12-15 15:09:00,2011-12-15 15:09:59
2731.6,2731.6,2740.7,2731.2,2430893.5,889,2011-12-15 15:10:00,2011-12-15 15:10:59
2731.7,2731.2,2740.2,2731.2,2433431.8,890,2011-12-15 15:11:00,2011-12-15 15:11:59
2738.5,2731.2,2738.9,2731.2,2454968.7,898,2011-12-15 15:12:00,2011-12-15 15:12:59
2738.4,2731.2,2739.9,2731.2,2405901.2,880,2011-12-15 15:13:00,2011-12-15 15:13:59
2731.2,2731.1,2739.8,2731.0,2134754.9,781,2011-12-15 15:14:00,2011-12-15 15:14:59
2731.3,2731.0,2740.6,2731.0,2358186.2,863,2011-12-15 15:15:00,2011-12-15 15:15:59
2730.0,2723.5,2749.9,2717.5,2370555.8,868,2011-12-15 15:16:00,2011-12-15 15:16:59
2723.7,2722.2,2750.0,2717.0,2908956.6,1066,2011-12-15 15:17:00,2011-12-15 15:17:59
2722.4,2716.1,2741.7,2716.0,2265493.1,832,2011-12-15 15:18:00,2011-12-15 15:18:59
2716.1,2715.0,2730.0,2715.0,2317487.7,852,2011-12-15 15:19:00,2011-12-15 15:19:59
2715.0,2729.6,2734.5,2715.0,2628589.4,966,2011-12-15 15:20:00,2011-12-15 15:20:59
2716.5,2712.0,2738.0,2712.0,2779933.5,1022,2011-12-15 15:21:00,2011-12-15 15:21:59
2712.0,2706.3,2733.0,2706.0,2631061.2,969,2011-12-15 15:22:00,2011-12-15 15:22:59
2706.3,2702.0,2739.8,2693.6,3012348.5,1110,2011-12-15 15:23:00,2011-12-15 15:23:59
2702.1,2695.6,2737.1,2692.0,2553089.2,943,2011-12-15 15:24:00,2011-12-15 15:24:59
2695.7,2719.5,2740.0,2693.7,2280240.7,840,2011-12-15 15:25:00,2011-12-15 15:25:59
2726.4,2700.1,2739.6,2700.1,2636797.4,972,2011-12-15 15:26:00,2011-12-15 15:26:59
2700.3,2695.7,2716.3,2691.1,2789154.1,1032,2011-12-15 15:27:00,2011-12-15 15:27:59
2695.7,2715.5,2726.9,2688.6,2477429.9,918,2011-12-15 15:28:00,2011-12-15 15:28:59
2688.6,2685.0,2710.9,2685.0,2417079.9,898,2011-12-15 15:29:00,2011-12-15 15:29:59
2685.0,2681.9,2699.7,2677.7,3526272.6,1312,2011-12-15 15:30:00,2011-12-15 15:30:59
2682.3,2677.9,2695.7,2677.2,2515593.6,937,2011-12-15 15:31:00,2011-12-15 15:31:59
2678.0,2684.3,2687.0,2677.1,2673155.4,997,2011-12-15 15:32:00,2011-12-15 15:32:59
2678.2,2677.0,2686.3,2677.0,3030455.1,1131,2011-12-15 15:33:00,2011-12-15 15:33:59
2677.1,2677.0,2687.4,2677.0,2202352.2,822,2011-12-15 15:34:00,2011-12-15 15:34:59
2677.0,2675.0,2689.7,2675.0,2161965.7,807,2011-12-15 15:35:00,2011-12-15 15:35:59
2675.0,2675.0,2684.7,2674.0,2128730.7,795,2011-12-15 15:36:00,2011-12-15 15:36:59
2675.0,2682.3,2682.7,2670.9,2803702.0,1047,2011-12-15 15:37:00,2011-12-15 15:37:59
2681.3,2695.8,2696.6,2675.4,701587.9,261,2011-12-15 15:38:00,2011-12-15 15:38:59
2695.8,2710.0,2710.0,2687.0,733430.5,272,2011-12-15 15:39:00,2011-12-15 15:39:59
2719.7,2717.4,2721.3,2701.4,1508506.3,556,2011-12-15 15:40:00,2011-12-15 15:40:59
2713.6,2737.5,2737.5,2702.6,2270162.4,833,2011-12-15 15:41:00,2011-12-15 15:41:59
2730.5,2742.0,2742.0,2730.0,1268576.2,464,2011-12-15 15:42:00,2011-12-15 15:42:59
2737.2,2748.9,2748.9,2732.4,996250.0,363,2011-12-15 15:43:00,2011-12-15 15:43:59
2748.9,2750.0,2750.0,2735.2,3788085.6,1378,2011-12-15 15:44:00,2011-12-15 15:44:59
